County,State,Population,Area in square miles - Land area,Population sq mi land,Housing units sq mi
Lunenburg,Virginia,"12,196",431.68,29.9,13.7
Madison,Virginia,"13,261",320.68,41.5,18.5
Mathews,Virginia,"8,834",85.93,104.5,66
Mecklenburg,Virginia,"30,587",625.49,52.3,29.7
Middlesex,Virginia,"10,582",130.31,84.1,54.7
Montgomery,Virginia,"98,535",387.01,243.9,99.7
Nelson,Virginia,"14,930",470.86,31.9,21.1
New Kent,Virginia,"23,091",209.73,87.9,34.8
Northampton,Virginia,"11,710",211.61,58.5,34.5
Northumberland,Virginia,"12,095",191.3,64.5,47
Nottoway,Virginia,"15,232",314.39,50.4,21.2
Orange,Virginia,"37,051",340.78,98.2,42.9
Page,Virginia,"23,902",310.86,77.3,37.3
Patrick,Virginia,"17,608",483.1,38.3,20.9
Pittsylvania,Virginia,"60,354",968.94,65.5,32.3
Powhatan,Virginia,"29,652",260.22,107.8,38.6
Prince Edward,Virginia,"22,802",349.96,66.8,26.1
Prince George,Virginia,"38,353",265.16,134.7,45.5
Prince William,Virginia,"470,335",336.4,1195,407.6
Pulaski,Virginia,"34,027",319.86,109,53.9
Rappahannock,Virginia,"7,370",266.23,27.7,14.4
Richmond,Virginia,"9,023",191.49,48.3,20.1
Roanoke,Virginia,"94,186",250.52,368.7,159.7
Rockbridge,Virginia,"22,573",597.56,37.3,18.7
Rockingham,Virginia,"81,948",849.09,89.9,39.6
Russell,Virginia,"26,586",473.82,61,28.5
Scott,Virginia,"21,566",535.53,43.3,22.3
Shenandoah,Virginia,"43,616",508.78,82.5,41
Smyth,Virginia,"30,104",450.93,71.4,34.2
Southampton,Virginia,"17,631",599.14,31,12.5
Spotsylvania,Virginia,"136,215",401.5,304.9,112.5
Stafford,Virginia,"152,882",268.96,479.5,163.5
Surry,Virginia,"6,422",278.95,25.3,12.3
Sussex,Virginia,"11,159",490.22,24.7,9.6
Tazewell,Virginia,"40,595",518.85,86.9,40.1
Warren,Virginia,"40,164",213.47,176,75.1
Washington,Virginia,"53,740",560.97,97.8,45.6
Westmoreland,Virginia,"18,015",229.37,76.1,46.3
Wise,Virginia,"37,383",403.19,102.8,44.5
Wythe,Virginia,"28,684",461.82,63.3,30.5
York,Virginia,"68,280",104.78,624.8,256.2
Alexandria city,Virginia,"159,428",15.03,9314.3,4816.4
Bedford city,Virginia,"6,181",6.88,904.6,424.5
Bristol city,Virginia,"16,762",13.01,1370.6,678.6
Buena Vista city,Virginia,"6,478",6.7,992,438
Charlottesville city,Virginia,"47,266",10.24,4246.3,1874.2
Chesapeake city,Virginia,"244,835",340.8,652,244.1
Colonial Heights city,Virginia,"17,370",7.52,2315.3,1041.4
Covington city,Virginia,"5,538",5.47,1090.1,560.8
Danville city,Virginia,"40,044",42.93,1002.8,522.6
Emporia city,Virginia,"5,346",6.89,859.8,372.1
Fairfax city,Virginia,"24,019",6.24,3616.6,1391.2
Falls Church city,Virginia,"14,617",2,6169.8,2746.2
Franklin city,Virginia,"7,967",8.21,1045.8,475.4
Fredericksburg city,Virginia,"29,036",10.44,2326.2,1002.6
Galax city,Virginia,"6,347",8.24,854.7,394.7
Hampton city,Virginia,"134,510",51.41,2673.2,1158.6
Harrisonburg city,Virginia,"53,016",17.42,2808.2,1001.5
Hopewell city,Virginia,"22,529",10.28,2197.9,984.7
Lexington city,Virginia,"7,446",2.5,2820.3,1019.7
Lynchburg city,Virginia,"82,168",49.13,1538.2,651.2
Manassas city,Virginia,"41,085",9.88,3827.8,1328.1
Manassas Park city,Virginia,"17,478",2.53,5633.1,1935.5
Martinsville city,Virginia,"12,554",10.96,1261.5,657.6
Newport News city,Virginia,"179,225",68.71,2630,1108.9
Norfolk city,Virginia,"242,742",54.12,4486.3,1755.7
Norton city,Virginia,"3,981",7.48,529.1,260
Petersburg city,Virginia,"31,346",22.93,1413.8,711.9
Poquoson city,Virginia,"12,271",15.32,793.3,308.6
Portsmouth city,Virginia,"94,398",33.65,2838.9,1212.6
Radford city,Virginia,"18,249",9.87,1662.2,651.1
Richmond city,Virginia,"230,436",59.81,3414.7,1644.5
Roanoke city,Virginia,"99,143",42.56,2279.8,1114.9
Salem city,Virginia,"25,301",14.44,1718,750.3
Staunton city,Virginia,"24,932",19.98,1188.8,587.6
Suffolk city,Virginia,"92,108",400.17,211.4,82.6
Virginia Beach city,Virginia,"449,974",249.02,1758.9,714.3
Waynesboro city,Virginia,"22,630",15.04,1396.8,646.1
Williamsburg city,Virginia,"14,954",9.02,1559.3,573.7
Winchester city,Virginia,"28,078",9.23,2838.1,1285.9
Adams,Washington,"19,983",1924.98,9.7,3.2
Asotin,Washington,"22,582",636.21,34,15.5
Benton,Washington,"204,390",1700.38,103,40.4
Chelan,Washington,"77,200",2920.52,24.8,12.1
Clallam,Washington,"77,331",1738.33,41.1,20.5
Clark,Washington,"488,241",629,676.2,266.2
Columbia,Washington,"3,985",868.63,4.7,2.5
Cowlitz,Washington,"110,593",1140.13,89.8,38.1
Douglas,Washington,"43,429",1819.26,21.1,8.8
Ferry,Washington,"7,627",2203.16,3.4,2
Franklin,Washington,"95,222",1242.17,62.9,19.7
Garfield,Washington,"2,225",710.69,3.2,1.7
Grant,Washington,"97,733",2679.51,33.3,13.1
Grays Harbor,Washington,"75,061",1902.03,38.3,18.5
Island,Washington,"85,141",208.45,376.6,193
Jefferson,Washington,"32,221",1803.7,16.6,9.9
King,Washington,"2,252,782",2115.57,912.9,402.4
Kitsap,Washington,"271,473",394.94,635.9,271.9
Kittitas,Washington,"47,935",2297.27,17.8,9.5
Klickitat,Washington,"22,425",1871.31,10.9,5.2
Lewis,Washington,"80,707",2402.8,31.4,14.2
Lincoln,Washington,"10,939",2310.49,4.6,2.5
Mason,Washington,"66,768",959.42,63.3,33.9
Okanogan,Washington,"42,243",5267.98,7.8,4.2
Pacific,Washington,"22,471",932.66,22.4,16.7
Pend Oreille,Washington,"13,724",1399.99,9.3,5.7
Pierce,Washington,"904,980",1669.51,476.3,194.9
San Juan,Washington,"17,582",173.91,90.7,76.5
Skagit,Washington,"129,205",1731.2,67.5,29.7
Skamania,Washington,"12,083",1655.68,6.7,3.4
Snohomish,Washington,"822,083",2087.27,341.8,137.3
Spokane,Washington,"522,798",1763.79,267.2,114.2
Stevens,Washington,"45,723",2477.76,17.6,8.5
Thurston,Washington,"290,536",721.96,349.4,149.8
Wahkiakum,Washington,"4,488",263.38,15.1,7.8
Walla Walla,Washington,"60,760",1270.13,46.3,18.5
Whatcom,Washington,"229,247",2106.86,95.5,43
Whitman,Washington,"50,104",2159.09,20.7,8.9
Yakima,Washington,"250,873",4295.4,56.6,19.9
Barbour,West Virginia,"16,441",341.06,48.6,23
Berkeley,West Virginia,"119,171",321.14,324.4,139.4
Boone,West Virginia,"21,457",501.54,49.1,22.1
Braxton,West Virginia,"13,957",510.81,28.4,14.5
Brooke,West Virginia,"21,939",89.2,269.8,122.9
Cabell,West Virginia,"91,945",281.02,342.8,164.3
Calhoun,West Virginia,"7,109",279.25,27.3,14.2
Clay,West Virginia,"8,508",341.9,27.5,13.4
Doddridge,West Virginia,"8,448",319.72,25.7,12.3
Fayette,West Virginia,"42,406",661.55,69.6,32.7
Gilmer,West Virginia,"7,823",338.5,25.7,10.2
Grant,West Virginia,"11,568",477.37,25,13.3
Greenbrier,West Virginia,"34,662",1019.57,34.8,18.6
Hampshire,West Virginia,"23,175",640.25,37.4,21.4
Hancock,West Virginia,"28,810",82.61,371.3,176
Hardy,West Virginia,"13,776",582.31,24.1,13.9
Harrison,West Virginia,"67,256",416.01,166.1,75.6
Jackson,West Virginia,"28,576",464.35,62.9,28.7
Jefferson,West Virginia,"57,146",209.63,255.2,105.1
Kanawha,West Virginia,"178,124",901.59,214.1,102.7
Lewis,West Virginia,"15,907",384.9,42.5,20.7
Lincoln,West Virginia,"20,409",437.04,49.7,22.6
Logan,West Virginia,"32,019",453.74,81,36.9
McDowell,West Virginia,"17,624",533.46,41.5,21.2
Marion,West Virginia,"56,072",308.74,182.7,85.7
Marshall,West Virginia,"30,531",305.43,108.4,52.1
Mason,West Virginia,"26,516",430.75,63.4,30.2
Mercer,West Virginia,"58,758",418.99,148.6,71.9
Mineral,West Virginia,"26,868",327.83,86.1,39.8
Mingo,West Virginia,"23,424",423.11,63.4,30
Monongalia,West Virginia,"105,612",360.06,267.1,120.1
Monroe,West Virginia,"13,275",472.75,28.6,16.1
Morgan,West Virginia,"17,884",229.07,76.6,42.6
Nicholas,West Virginia,"24,496",646.82,40.6,20.2
Ohio,West Virginia,"41,411",105.82,420,200.1
Pendleton,West Virginia,"6,969",696.05,11.1,7.4
Pleasants,West Virginia,"7,460",130.1,58.5,26.1
Pocahontas,West Virginia,"8,247",940.28,9.3,9.4
Preston,West Virginia,"33,432",648.8,51.7,23.3
Putnam,West Virginia,"56,450",345.67,160.5,67.8
Raleigh,West Virginia,"73,361",605.35,130.3,59.4
Randolph,West Virginia,"28,695",1039.68,28.3,13.6
Ritchie,West Virginia,"9,554",451.99,23.1,12.9
Roane,West Virginia,"13,688",483.56,30.9,15.2
Summers,West Virginia,"12,573",360.46,38.6,21.3
Taylor,West Virginia,"16,695",172.77,97.8,43.6
Tucker,West Virginia,"6,839",418.92,17,12.8
Tyler,West Virginia,"8,591",256.29,35.9,19.5
Upshur,West Virginia,"24,176",354.64,68.4,31.3
Wayne,West Virginia,"39,402",505.98,84,38
Webster,West Virginia,"8,114",553.47,16.5,9.8
Wetzel,West Virginia,"15,065",358.06,46.3,22.8
Wirt,West Virginia,"5,821",232.51,24.6,13.9
Wood,West Virginia,"83,518",366.26,237.4,109.8
Wyoming,West Virginia,"20,394",499.45,47.6,21.9
Adams,Wisconsin,"20,220",645.65,32.3,27
Ashland,Wisconsin,"15,562",1045.04,15.5,9.2
Barron,Wisconsin,"45,244",862.71,53.2,27.4
Bayfield,Wisconsin,"15,036",1477.86,10.2,8.8
Brown,Wisconsin,"264,542",529.71,468.2,197
Buffalo,Wisconsin,"13,031",671.64,20.2,9.9
Burnett,Wisconsin,"15,414",821.85,18.8,18.6
Calumet,Wisconsin,"50,089",318.24,153.9,61.9
Chippewa,Wisconsin,"64,658",1008.37,61.9,27
Clark,Wisconsin,"34,774",1209.82,28.7,12.5
Columbia,Wisconsin,"57,532",765.53,74.2,34.1
Crawford,Wisconsin,"16,131",570.66,29.2,15.4
Dane,Wisconsin,"546,695",1197.24,407.7,180.4
Dodge,Wisconsin,"87,839",875.62,101.4,42.3
Door,Wisconsin,"27,668",481.98,57.6,49.7
Douglas,Wisconsin,"43,150",1304.14,33.9,17.5
Dunn,Wisconsin,"45,368",850.11,51.6,21.1
Eau Claire,Wisconsin,"104,646",637.98,154.8,66.1
Florence,Wisconsin,"4,295",488.2,9.1,9.8
Fond du Lac,Wisconsin,"103,403",719.55,141.2,61
Forest,Wisconsin,"9,004",1014.07,9.2,8.8
Grant,Wisconsin,"51,439",1146.85,44.7,18.8
Green,Wisconsin,"36,960",583.96,63.1,27.2
Green Lake,Wisconsin,"18,913",349.44,54.5,30.4
Iowa,Wisconsin,"23,678",762.58,31.1,14.1
Iron,Wisconsin,"5,687",758.17,7.8,7.9
Jackson,Wisconsin,"20,643",987.72,20.7,9.8
Jefferson,Wisconsin,"84,769",556.47,150.4,63.2
Juneau,Wisconsin,"26,687",766.93,34.8,19.1
Kenosha,Wisconsin,"169,561",271.99,611.9,254.7
Kewaunee,Wisconsin,"20,434",342.52,60.1,27.2
La Crosse,Wisconsin,"118,016",451.69,253.8,107.2
Lafayette,Wisconsin,"16,665",633.59,26.6,11.4
Langlade,Wisconsin,"19,189",870.64,22.9,14.2
Lincoln,Wisconsin,"27,593",878.97,32.7,19.1
Manitowoc,Wisconsin,"78,981",589.08,138.3,63.1
Marathon,Wisconsin,"135,692",1544.98,86.8,37.4
Marinette,Wisconsin,"40,350",1399.35,29.8,21.7
Marquette,Wisconsin,"15,574",455.6,33.8,21.7
Menominee,Wisconsin,"4,556",357.61,11.8,6.3
Milwaukee,Wisconsin,"945,726",241.4,3926,1731.8
Monroe,Wisconsin,"46,253",900.78,49.6,21.3
Oconto,Wisconsin,"37,930",997.99,37.7,23.6
Oneida,Wisconsin,"35,595",1112.97,32.3,27.1
Outagamie,Wisconsin,"187,885",637.52,277.2,114.7
Ozaukee,Wisconsin,"89,221",233.08,370.7,155.6
Pepin,Wisconsin,"7,287",231.98,32.2,15.4
Pierce,Wisconsin,"42,754",573.75,71.5,28.1
Polk,Wisconsin,"43,783",913.96,48.4,26.5
Portage,Wisconsin,"70,772",800.68,87.4,37.5
Price,Wisconsin,"13,351",1254.38,11.3,8.9
Racine,Wisconsin,"196,311",332.5,587.7,247.1
Richland,Wisconsin,"17,252",586.15,30.7,15.1
Rock,Wisconsin,"163,354",718.14,223.3,95.3
Rusk,Wisconsin,"14,178",913.59,16.2,9.7
St. Croix,Wisconsin,"90,687",722.33,116.8,47
Sauk,Wisconsin,"64,442",830.9,74.6,35.8
Sawyer,Wisconsin,"16,558",1257.3,13.2,12.7
Shawano,Wisconsin,"40,899",893.06,47,23.2
Sheboygan,Wisconsin,"115,340",511.27,225.9,99.3
Taylor,Wisconsin,"20,343",974.88,21.2,10.9
Trempealeau,Wisconsin,"29,649",732.96,39.3,17.2
Vernon,Wisconsin,"30,822",791.58,37.6,17.3
Vilas,Wisconsin,"22,195",856.6,25,29.3
Walworth,Wisconsin,"103,868",555.13,184.2,92.8
Washburn,Wisconsin,"15,720",797.11,20,16.3
Washington,Wisconsin,"136,034",430.7,306.2,127
Waukesha,Wisconsin,"404,198",549.57,709.4,292.7
Waupaca,Wisconsin,"50,990",747.71,70.1,34
Waushara,Wisconsin,"24,443",626.15,39.1,23.7
Winnebago,Wisconsin,"171,907",434.49,384.3,168.8
Wood,Wisconsin,"72,999",793.12,94.2,43
Albany,Wyoming,"38,880",4273.84,8.5,4.2
Big Horn,Wyoming,"11,790",3137.1,3.7,1.7
Campbell,Wyoming,"46,341",4802.71,9.6,3.9
Carbon,Wyoming,"14,800",7897.58,2,1.1
Converse,Wyoming,"13,822",4254.88,3.3,1.5
Crook,Wyoming,"7,584",2854.41,2.5,1.3
Fremont,Wyoming,"39,261",9183.81,4.4,1.9
Goshen,Wyoming,"13,211",2225.39,6,2.7
Hot Springs,Wyoming,"4,413",2004.09,2.4,1.3
Johnson,Wyoming,"8,445",4154.15,2.1,1.1
Laramie,Wyoming,"99,500",2685.91,34.2,15.1
Lincoln,Wyoming,"19,830",4076.13,4.4,2.2
Natrona,Wyoming,"79,858",5340.35,14.1,6.3
Niobrara,Wyoming,"2,356",2626.04,0.9,0.5
Park,Wyoming,"29,194",6942.08,4.1,2
Platte,Wyoming,"8,393",2084.21,4.2,2.2
Sheridan,Wyoming,"30,485",2523.99,11.5,5.5
Sublette,Wyoming,"9,831",4886.54,2.1,1.2
Sweetwater,Wyoming,"42,343",10426.65,4.2,1.8
Teton,Wyoming,"23,464",3995.38,5.3,3.2
Uinta,Wyoming,"20,226",2081.26,10.1,4.2
Washakie,Wyoming,"7,805",2238.55,3.8,1.7
Weston,Wyoming,"6,927",2398.09,3,1.5
Unknown,Puerto Rico,"3,725,789",3423.78,1088.2,478.1
Unknown,Guam,"168,775",212,796,241
Unknown,Virgin Islands,"106,405",134.32,792,1.9
Unknown,Northern Mariana Islands,"53,883",182.33,295.5,2.58
